Frase,Categoria_Atribuida,Score_Similaridade
Keep in touch with old friends.,Agreeableness+,0.37223200
Keep my faith even during hard times.,Agreeableness+,0.3243090
Keep my promises.,Agreeableness+,0.39248400
Keep my sense of humor even in gloomy situations.,Agreeableness+,0.42002300
Keep the peace.,Agreeableness+,0.5049300
Know how to comfort others.,Agreeableness+,0.5487340
Know how to convince others.,Agreeableness+,0.4130430
Know someone for whom I would do almost anything.,Agreeableness+,0.22061100
Know someone who is absolutely fair and just.,Agreeableness+,0.38494800
Know that anyone who tries can get a job.,Agreeableness+,0.25366000
Know that I'm good because others tell me so.,Agreeableness+,0.37110900
Know that many people helped me to get to where I am today.,Agreeableness+,0.35851500
Know that my special qualities will some day be admired.,Agreeableness+,0.4410660
Know that some others accept my shortcomings.,Agreeableness+,0.42150200
Know that there is someone I trust to help and support me.,Agreeableness+,0.39772900
Know what others are thinking.,Agreeableness+,0.4237540
Know what to say to make people feel good.,Agreeableness+,0.427934
Laugh a lot.,Agreeableness+,0.37223900
Laugh at the slightest provocation.,Agreeableness+,0.41166600
Let other people take the credit for my work.,Agreeableness+,0.41641700
Let others determine my choices.,Agreeableness+,0.3561420
Let others do the work.,Agreeableness+,0.43318800
Let others finish what they are saying.,Agreeableness+,0.42322200
Let others have the credit.,Agreeableness+,0.44076400
Let others make the decisions.,Agreeableness+,0.36969700
Let people push me around to help them feel important.,Agreeableness+,0.3637130
Like a lot of luxury in my life.,Agreeableness+,0.34979000
Like harmony in my life.,Agreeableness+,0.47751200
Like it when strangers find me sexually appealing.,Agreeableness+,0.36570400
Like to apologize after an argument.,Agreeableness+,0.42347800
Like to attend ceremonies.,Agreeableness+,0.33835800
Like to be around children.,Agreeableness+,0.35066700
Like to be of service to others.,Agreeableness+,0.5544930
Like to do things for others.,Agreeableness+,0.53518400
Like to give intoxicants to others.,Agreeableness+,0.35257900
Like to give orders.,Agreeableness+,0.38862100
Like to help others.,Agreeableness+,0.60162600
Like to know the news of the world.,Agreeableness+,0.28982500
Like to please others.,Agreeableness+,0.57920100
Like to read.,Agreeableness+,0.3311470
Like to take responsibility for making decisions.,Agreeableness+,0.40414200
Like to trick people into doing things for me.,Agreeableness+,0.30717800
Like to watch children open presents.,Agreeableness+,0.294693
Like to work as part of a team.,Agreeableness+,0.437966
Listen to my conscience.,Agreeableness+,0.43937800
"Listen to others, even if I disagree.",Agreeableness+,0.42398800
Live a life of luxury.,Agreeableness+,0.27859000
Look at the bright side of life.,Agreeableness+,0.46786900
Look forward to each new day.,Agreeableness+,0.3745670
Look on the bright side.,Agreeableness+,0.5345530
"Look to God / a Higher Power for support, guidance, and strength.",Agreeableness+,0.2875890
Love animals.,Agreeableness+,0.3402180
Love change.,Agreeableness+,0.36428700
Love children.,Agreeableness+,0.36710500
Love children's movies.,Agreeableness+,0.18856900
Love flowers.,Agreeableness+,0.31859700
Love life.,Agreeableness+,0.3764990
Love luxury.,Agreeableness+,0.39434900
Love security.,Agreeableness+,0.41176000
Love surprise parties.,Agreeableness+,0.39709600
Love to be complimented.,Agreeableness+,0.5392100
Love to chat.,Agreeableness+,0.38347000
Love to eat.,Agreeableness+,0.3103780
Love to help others.,Agreeableness+,0.5546140
Love to let others share the spotlight.,Agreeableness+,0.4617200
Love to make other people happy.,Agreeableness+,0.45751700
Love to meet new people.,Agreeableness+,0.33376100
Love what I do.,Agreeableness+,0.32327400
Make friends easily.,Agreeableness+,0.37054000
Make jokes.,Agreeableness+,0.40566800
Make others feel good.,Agreeableness+,0.56122000
Make people feel at ease.,Agreeableness+,0.5125620
Make people feel welcome.,Agreeableness+,0.6002410
Need affection.,Agreeableness+,0.46796900
Need others to help run my life.,Agreeableness+,0.28290000
Need reassurance.,Agreeableness+,0.5781080
Need the approval of others.,Agreeableness+,0.5310010
Need to force and remind myself to smile every day.,Agreeableness+,0.32786800
Never abuse my credit.,Agreeableness+,0.2981590
Never resent being asked to do a favor for someone.,Agreeableness+,0.41161200
Notice when other people do things for me.,Agreeableness+,0.47040200
Offer help with problems.,Agreeableness+,0.4760760
Often do nice things for people.,Agreeableness+,0.56094800
Often do things to be praised.,Agreeableness+,0.4867120
Often enjoy telling jokes or behaving in a humorous manner.,Agreeableness+,0.35440800
Often feed homeless people at my front door.,Agreeableness+,0.27836400
Often need help.,Agreeableness+,0.48069700
Prefer renting or leasing a car to owning one.,Agreeableness+,0.23563600
Prefer that others make the major decisions in my life.,Agreeableness+,0.2905570
Prefer to be around people with a background like mine.,Agreeableness+,0.317608
"Prefer to call people ""Mr."" and ""Mrs.""",Agreeableness+,0.24048200
Prefer to let others be the center of attention.,Agreeableness+,0.38105200
Prefer to spend my free time with family or friends rather than alone.,Agreeableness+,0.2685370
Prefer variety to routine.,Agreeableness+,0.35828900
Put up with anything.,Agreeableness+,0.3603290
Rarely become angry at my friends.,Agreeableness+,0.30435800
Rarely complain.,Agreeableness+,0.35492900
Reassure others.,Agreeableness+,0.6385400
"Remain hopeful about the future, regardless of challenges.",Agreeableness+,0.39815000
Remain hopeful despite challenges.,Agreeableness+,0.43116400
Remember my friends' birthdays.,Agreeableness+,0.34890600
Respect older people.,Agreeableness+,0.45593600
Respect others.,Agreeableness+,0.5759280
Respect others' feelings.,Agreeableness+,0.57587200
Respect the opinions of others.,Agreeableness+,0.51870400
Return borrowed items.,Agreeableness+,0.2864930
Sacrifice myself for others.,Agreeableness+,0.40461400
Say yes to nearly all requests.,Agreeableness+,0.38055400
See myself as a good leader.,Agreeableness+,0.36843900
See the beauty in everyday things.,Agreeableness+,0.43576300
See the humor in situations.,Agreeableness+,0.4871190
Seek support.,Agreeableness+,0.5222580
Seldom take offense.,Agreeableness+,0.46333000
Sense others' wishes.,Agreeableness+,0.6302950
Share things with others.,Agreeableness+,0.49751000
Should get special privileges.,Agreeableness+,0.3683700
Show faith in people.,Agreeableness+,0.42658200
Show my gratitude.,Agreeableness+,0.6183600
Smile a lot.,Agreeableness+,0.53768200
Spend lots of my free time helping others.,Agreeableness+,0.39419200
Stay in touch with old acquaintances.,Agreeableness+,0.38487900
Stop to count my blessings.,Agreeableness+,0.51882000
Support my teammates or fellow group members.,Agreeableness+,0.42972900
Switch my loyalties when I feel like it.,Agreeableness+,0.36352900
Sympathize with others' feelings.,Agreeableness+,0.51993500
Sympathize with the homeless.,Agreeableness+,0.3873820
Take an interest in other people's lives.,Agreeableness+,0.41584100
Take others' interests into account.,Agreeableness+,0.49194700
Take part in community projects to help people who have less than me.,Agreeableness+,0.3424710
Take responsibility for what happens.,Agreeableness+,0.3566870
Take things as they come.,Agreeableness+,0.40586600
Take time out for others.,Agreeableness+,0.46560200
Tell other people what they want to hear so that they will do what I want them to do.,Agreeableness+,0.31103500
Tell others what I really think.,Agreeableness+,0.34038900
Tell the truth.,Agreeableness+,0.3606000
Tend to be admired by others.,Agreeableness+,0.47046200
Tend to live in the present.,Agreeableness+,0.45454000
Tend to think of alternatives when someone tells me how to do something.,Agreeableness+,0.37482200
Tend to vote for conservative political candidates.,Agreeableness+,0.2900350
Tend to vote for liberal political candidates.,Agreeableness+,0.30767200
Think of myself as a good and moral person.,Agreeableness+,0.3955230
Think of others as objects to be used for my personal pleasure.,Agreeableness+,0.40936700
Think of others first.,Agreeableness+,0.47692500
Think that all will be well.,Agreeableness+,0.43660000
Think that everybody should give some of their time and energy to help their town or country.,Agreeableness+,0.4109060
Think that everyone should get a fair share.,Agreeableness+,0.36748700
Think that I am in good medical condition.,Agreeableness+,0.34994700
Think that in difficult situations it is possible to find something to laugh or joke about.,Agreeableness+,0.41071100
Think that it is important to forgive people who have hurt me.,Agreeableness+,0.35254400
Think that others should do all the work.,Agreeableness+,0.31447100
Tolerate a lot from others.,Agreeableness+,0.5712070
Treat all people equally.,Agreeableness+,0.3387380
Treat all races and religions equally.,Agreeableness+,0.2599050
Treat everyone the same.,Agreeableness+,0.23476000
Treat my doctors and other professionals as my friends.,Agreeableness+,0.4146000
Treated my parents well.,Agreeableness+,0.3307110
Trust everyone.,Agreeableness+,0.49684200
Trust others.,Agreeableness+,0.58922800
Trust what people say.,Agreeableness+,0.46571300
Try hard to treat others with respect.,Agreeableness+,0.5107470
Try to act fairly in all situations.,Agreeableness+,0.5283780
Try to add some humor to whatever I do.,Agreeableness+,0.4231400
Try to always tell the truth.,Agreeableness+,0.30956800
Try to maintain a pleasant atmosphere.,Agreeableness+,0.5899560
Try to make my group members happy.,Agreeableness+,0.5058720
Try to make sure everyone in a group feels included.,Agreeableness+,0.47478100
Try to meet people I find attractive.,Agreeableness+,0.31607700
Try to please everyone.,Agreeableness+,0.5326800
Use laughter to brighten the days of others.,Agreeableness+,0.46245300
Use others for my own ends.,Agreeableness+,0.40568600
Usually end up laughing if the people around me are laughing.,Agreeableness+,0.36052100
Usually enjoy being with people.,Agreeableness+,0.40239300
Usually get my way with others.,Agreeableness+,0.33167800
Usually like to spend my free time with people.,Agreeableness+,0.28769400
Value cooperation over competition.,Agreeableness+,0.473278
Value having long-term close relationships with people.,Agreeableness+,0.37634400
Wait for others to lead the way.,Agreeableness+,0.40637500
"Want everything to be ""just right.""",Agreeableness+,0.4305270
Want others to attend to my needs first.,Agreeableness+,0.41869100
Want things done my way.,Agreeableness+,0.35168100
Want to be liked.,Agreeableness+,0.42403400
Want to be told I am right.,Agreeableness+,0.42262300
Want to mean something to others.,Agreeableness+,0.5080780
Want to please others.,Agreeableness+,0.5875190
Warm up quickly to others.,Agreeableness+,0.49260100
Will agree to anything.,Agreeableness+,0.37153600
Will believe anything.,Agreeableness+,0.35061900
Will do anything for money.,Agreeableness+,0.20924500
Will do anything for others.,Agreeableness+,0.41254100
Will do just about anything to please people.,Agreeableness+,0.31008200
Wish to stay young forever.,Agreeableness+,0.20831900
Would be good at rescuing people from a burning building.,Agreeableness+,0.31494800
Would be happier if I could afford to buy more things.,Agreeableness+,0.2705850
Would consider adopting a handicapped child.,Agreeableness+,0.28398300
Would enjoy being out on a sailboat during a storm.,Agreeableness+,0.2825700
Would rather give than take.,Agreeableness+,0.40648300
Admit mistakes.,Conscientiousness-,0.43612600
Always seem to be losing things.,Conscientiousness-,0.4014980
Am a bad loser.,Conscientiousness-,0.37706100
Am a corrupt person.,Conscientiousness-,0.38253000
Am continually losing things.,Conscientiousness-,0.39741000
Am easily confused.,Conscientiousness-,0.46850600
Am easily disoriented.,Conscientiousness-,0.4944510
Am easily overpowered when decisions need to be made.,Conscientiousness-,0.3731930
Am easy to fool.,Conscientiousness-,0.36239600
Am inadequate.,Conscientiousness-,0.49426200
Am not a dependable person.,Conscientiousness-,0.48649900
Am not good at planning group activities.,Conscientiousness-,0.43157200
Am not good at sports.,Conscientiousness-,0.26025300
Am not good at taking charge of a group.,Conscientiousness-,0.42890700
Am not good at working with a group.,Conscientiousness-,0.39795000
Am not very good at getting things done.,Conscientiousness-,0.42226500
Am often down in the dumps.,Conscientiousness-,0.35646700
Am often late to work.,Conscientiousness-,0.29159700
Am often late.,Conscientiousness-,0.34146800
Am physically out of shape.,Conscientiousness-,0.29367500
Am quick to admit making a mistake.,Conscientiousness-,0.39513100
Am rarely aware of the texture of things that I hold.,Conscientiousness-,0.41355300
Am sluggish much of the time.,Conscientiousness-,0.33115700
Am unable to deal with the problems in my work.,Conscientiousness-,0.37764700
Am unable to do things properly.,Conscientiousness-,0.5125150
Am way too detail-oriented.,Conscientiousness-,0.38774200
Assume that most people lie or cheat to get ahead.,Conscientiousness-,0.34922000
Believe that medical tests are often inaccurate.,Conscientiousness-,0.4237410
Believe that too much tax money goes to support artists.,Conscientiousness-,0.22847300
Believe that unfortunate events occur because of bad luck.,Conscientiousness-,0.44501900
Believe that we coddle criminals too much.,Conscientiousness-,0.3537210
Blame my mistakes on others.,Conscientiousness-,0.44398200
Borrow money that I won't pay back.,Conscientiousness-,0.278818
Break rules.,Conscientiousness-,0.46228300
Can never find anything.,Conscientiousness-,0.11813900
Can spot faulty reasoning.,Conscientiousness-,0.595337
Cannot be counted on to get things done.,Conscientiousness-,0.4326020
Cannot stop thinking about all of my mistakes.,Conscientiousness-,0.39410500
Can't afford to buy things I need.,Conscientiousness-,0.20674600
Can't come up with new ideas.,Conscientiousness-,0.3722790
Can't concentrate.,Conscientiousness-,0.43146400
Can't hold onto money for long.,Conscientiousness-,0.3862820
Can't make up my mind.,Conscientiousness-,0.33429900
Can't put my ideas into practice.,Conscientiousness-,0.43923100
Cause accidents.,Conscientiousness-,0.45516500
Cheat to get ahead.,Conscientiousness-,0.34719200
Cheated my way through school.,Conscientiousness-,0.26082800
Come up with unworkable plans.,Conscientiousness-,0.64769400
Detect mistakes.,Conscientiousness-,0.5654090
Dislike having to do more than one task at a time.,Conscientiousness-,0.34369400
Do improper things.,Conscientiousness-,0.63120200
Do too little work.,Conscientiousness-,0.4567950
Doubt that most politicians are corrupt.,Conscientiousness-,0.37838000
Easily lose my train of thought.,Conscientiousness-,0.46220400
Easily lose track of reality.,Conscientiousness-,0.4566750
Excel in nothing at all.,Conscientiousness-,0.07433600
Expect things to fail.,Conscientiousness-,0.4911160
Feel that my life lacks direction.,Conscientiousness-,0.38621100
Find fault with everything.,Conscientiousness-,0.48542600
Find it difficult to break my bad habits.,Conscientiousness-,0.403236
Find it difficult to organize tasks and activities.,Conscientiousness-,0.4767240
Find it difficult to stay on one course.,Conscientiousness-,0.3710310
Found evidence that I had done things that I did not remember doing.,Conscientiousness-,0.28590900
Found new things among my belongings that I didn't remember buying.,Conscientiousness-,0.27932700
Frequently back out of plans.,Conscientiousness-,0.48778600
Frequently drop things.,Conscientiousness-,0.49751200
Frequently forget to do things.,Conscientiousness-,0.52537100
Frequently forget what I am doing.,Conscientiousness-,0.43326800
Frequently get so strongly absorbed in one thing that I lose sight of other things.,Conscientiousness-,0.36977100
Frequently get things mixed up in my head.,Conscientiousness-,0.41966700
Frequently take the blame for others' mistakes.,Conscientiousness-,0.41153000
Generally lack the energy to get things done.,Conscientiousness-,0.40225500
Get confused easily.,Conscientiousness-,0.5181000
Get in trouble with the law.,Conscientiousness-,0.36944800
Get so involved with things that I forget the time.,Conscientiousness-,0.3552700
Get upset if objects are not arranged properly.,Conscientiousness-,0.5447980
Get upset if others change the way that I have arranged things.,Conscientiousness-,0.42408700
Habitually blow my chances.,Conscientiousness-,0.44730900
Hardly ever finish things on time.,Conscientiousness-,0.38231900
Have been arrested at least once in the past.,Conscientiousness-,0.21198100
Have been arrested multiple times.,Conscientiousness-,0.18838200
Have been in trouble for failing to live up to my responsibilities.,Conscientiousness-,0.42623100
Have been told that I neglect other important parts of my life because I work so hard.,Conscientiousness-,0.2764240
Have deliberately not done my best.,Conscientiousness-,0.50811200
Have difficulty doing my work.,Conscientiousness-,0.52291300
Have difficulty keeping my attention on a task.,Conscientiousness-,0.45587500
Have difficulty starting tasks.,Conscientiousness-,0.47209700
Have done many terrible things.,Conscientiousness-,0.3893160
Have made a suicide plan in the past.,Conscientiousness-,0.28559800
Have medical problems that my doctors don't understand.,Conscientiousness-,0.33575900
Have noticed that I put my work ahead of too many other things.,Conscientiousness-,0.39533500
Have some bad habits.,Conscientiousness-,0.4922060
Have stolen things from time to time.,Conscientiousness-,0.32812100
Have stolen things many times.,Conscientiousness-,0.27430700
Have too little time to do what is needed.,Conscientiousness-,0.38372200
Have trouble admitting to mistakes.,Conscientiousness-,0.4861910
"Have trouble deciding even simple things, like where to eat dinner.",Conscientiousness-,0.3703040
Have trouble throwing away even worthless junk.,Conscientiousness-,0.51384700
Have used illegal drugs.,Conscientiousness-,0.26288800
"In tasks that I am not prepared for, attach great importance to the possibility of failure.",Conscientiousness-,0.46158300
Invent things that can go wrong.,Conscientiousness-,0.5733340
Lay down the law to others.,Conscientiousness-,0.3557820
Leave a mess in my room.,Conscientiousness-,0.35387300
Lose things.,Conscientiousness-,0.5473410
Make a mess of things.,Conscientiousness-,0.5413160
Make an issue out of everything.,Conscientiousness-,0.4749990
Make careless mistakes.,Conscientiousness-,0.6418850
Make excuses.,Conscientiousness-,0.4597550
Make mistakes.,Conscientiousness-,0.60570300
Make order out of chaos.,Conscientiousness-,0.47635100
Make problems bigger than they are.,Conscientiousness-,0.43330700
Make rash decisions.,Conscientiousness-,0.5116370
Mess things up.,Conscientiousness-,0.6256600
Misjudge situations.,Conscientiousness-,0.59747200
Misrepresent the facts.,Conscientiousness-,0.39907900
Misuse power.,Conscientiousness-,0.5623040
Mix up things.,Conscientiousness-,0.4897150
Often arrive late.,Conscientiousness-,0.36696400
Often cannot recall the exact route I took to get somewhere.,Conscientiousness-,0.2735570
Often can't remember what I ate yesterday.,Conscientiousness-,0.23822800
Often change plans at the last minute.,Conscientiousness-,0.3573100
Often do not know what time it is.,Conscientiousness-,0.32804800
Often forget things.,Conscientiousness-,0.5407620
Often forget to put things back in their proper place.,Conscientiousness-,0.5633810
Often forget what day it is.,Conscientiousness-,0.34674700
Often get out of things by making up good excuses.,Conscientiousness-,0.39252100
Often have disorganized thoughts.,Conscientiousness-,0.59680900
Often lose track of time.,Conscientiousness-,0.4382560
"Often make big, expensive purchases without thinking of the financial consequences.",Conscientiousness-,0.32644900
Often make decisions without regard for the mess they will cause.,Conscientiousness-,0.5681800
Often make plans that I do not follow through with.,Conscientiousness-,0.42120100
Often think about the possibility of negative outcomes that are not likely to occur.,Conscientiousness-,0.43702300
Overestimate my achievements.,Conscientiousness-,0.43287400
Overuse my credit.,Conscientiousness-,0.41476500
Point out others' mistakes.,Conscientiousness-,0.52246000
Quickly lose interest in the tasks I start.,Conscientiousness-,0.34962100
Rarely clean house.,Conscientiousness-,0.42662200
"Rarely finish doing things before they are actually due (such as paying bills, finishing work).",Conscientiousness-,0.32576700
Remember my failures more easily than my successes.,Conscientiousness-,0.37973400
Respond randomly to surveys and questionnaires.,Conscientiousness-,0.26064400
Return extra change when a cashier makes a mistake.,Conscientiousness-,0.3167040
See difficulties everywhere.,Conscientiousness-,0.46267800
See the real causes of problems.,Conscientiousness-,0.3840880
Seldom help out when people feel overwhelmed by things that need to be done.,Conscientiousness-,0.40996200
Smoke too many cigarettes.,Conscientiousness-,0.2989410
"Sometimes ""forget"" to do things on purpose.",Conscientiousness-,0.4895080
Spend more money than I should.,Conscientiousness-,0.3338580
Spill things.,Conscientiousness-,0.49753300
Steal things.,Conscientiousness-,0.31194800
Stumble over my words.,Conscientiousness-,0.5350060
Take tasks too lightly.,Conscientiousness-,0.47177400
Tend to hang on to things I should probably throw out.,Conscientiousness-,0.45453900
Think that most people in authority are incompetent or corrupt.,Conscientiousness-,0.45177600
Thought that my life had been a failure.,Conscientiousness-,0.28416700
Usually expect bad things to happen.,Conscientiousness-,0.4213700
Usually find it hard to go back and forth between two different tasks.,Conscientiousness-,0.38337100
View sex as a chore.,Conscientiousness-,0.3141810
Was a juvenile delinquent.,Conscientiousness-,0.25369900
Was down in the dumps.,Conscientiousness-,0.30010500
"Waste money, or lose it gambling.",Conscientiousness-,0.39536900
Waste my time.,Conscientiousness-,0.5020380
"When with a group, have difficulties selecting a good topic to talk about.",Conscientiousness-,0.36924600
Would knowingly sell something that broken or faulty.,Conscientiousness-,0.40028400
Would never make a high-risk investment.,Conscientiousness-,0.16717800
Would rather spend money than save it.,Conscientiousness-,0.25648600
Accomplish a lot of work.,Conscientiousness+,0.465653
Accomplish my work on time.,Conscientiousness+,0.44855500
Act properly in most situations.,Conscientiousness+,0.53221500
Adjust easily.,Conscientiousness+,0.37348600
Always know what I am doing.,Conscientiousness+,0.26220900
Always know why I do things.,Conscientiousness+,0.17633900
Always need to know who my partner is with.,Conscientiousness+,0.25516800
Ama firm believer in thinking things through.,Conscientiousness+,0.39758800
Am a goal-oriented person.,Conscientiousness+,0.39031900
Am a hard worker.,Conscientiousness+,0.38293900
Am a highly disciplined person.,Conscientiousness+,0.44656300
Am a perfectionist.,Conscientiousness+,0.41912400
Am a very good scam artist.,Conscientiousness+,0.22125200
Am able to fix electrical-wiring problems.,Conscientiousness+,0.23150600
Am able to work hard to achieve results that I will only get at a time far in the future.,Conscientiousness+,0.39811900
Am able to work hard to solve problems even when it takes a long time.,Conscientiousness+,0.293752
Am always aware of how I am presenting myself.,Conscientiousness+,0.3416220
Am always on time.,Conscientiousness+,0.20220700
Am always prepared.,Conscientiousness+,0.31092700
Am attached to conventional ways.,Conscientiousness+,0.35922100
Am careful to avoid making mistakes.,Conscientiousness+,0.5962990
Am careful to consider how things I do now will affect future outcomes.,Conscientiousness+,0.434261
Am convinced that my way is the best way.,Conscientiousness+,0.27930200
Am described by friends and family as a disciplined person.,Conscientiousness+,0.38853900
Am determined to finish a task when I start it.,Conscientiousness+,0.4413050
Am devoted to religion.,Conscientiousness+,0.21514300
Am exacting in my work.,Conscientiousness+,0.5791360
Am good at analyzing problems.,Conscientiousness+,0.47483500
Am good at motivating myself to work hard.,Conscientiousness+,0.31674900
Am good at saving money.,Conscientiousness+,0.3470310
Am good at setting goals for the future.,Conscientiousness+,0.41396000
Am interested in money to the point of being able to do risky jobs.,Conscientiousness+,0.22598000
Am known as a controlling person.,Conscientiousness+,0.37763400
Am looking for a job.,Conscientiousness+,0.21522300
Am mainly interested in money.,Conscientiousness+,0.22751100
Am quick to understand things.,Conscientiousness+,0.3617410
Am rigid in the way I want things organized.,Conscientiousness+,0.45026200
Am sure of my ground.,Conscientiousness+,0.31049800
Am true to my own values.,Conscientiousness+,0.3333440
Am usually pretty good at keeping track of several things that are happening around me.,Conscientiousness+,0.36330300
Am very aware of my surroundings.,Conscientiousness+,0.4297670
Am well-informed.,Conscientiousness+,0.49919500
Arrive on time.,Conscientiousness+,0.31511700
Avoid mistakes.,Conscientiousness+,0.5817430
Avoid throwing things away for fear that I might need them later.,Conscientiousness+,0.3916740
Behave properly.,Conscientiousness+,0.5929950
Believe in one true religion.,Conscientiousness+,0.29292700
Believe in the importance of tradition.,Conscientiousness+,0.31851500
Believe that children need firm discipline.,Conscientiousness+,0.34848100
Believe that important decisions should be based on logical reasoning.,Conscientiousness+,0.39176700
Believe that laws should be strictly enforced.,Conscientiousness+,0.3838970
Believe that planning ahead makes things turn out better.,Conscientiousness+,0.42124300
Believe that the end justifies the means.,Conscientiousness+,0.34051300
Believe that we should be tough on crime.,Conscientiousness+,0.39336600
Boss people around.,Conscientiousness+,0.35213000
Buy only the things I need.,Conscientiousness+,0.26141500
"Can change course, if necessary.",Conscientiousness+,0.3399090
Can control the outcome of events.,Conscientiousness+,0.38034500
Can easily link facts together.,Conscientiousness+,0.2707860
Can easily visualize how the freeways in my region link up.,Conscientiousness+,0.25664900
Can handle a lot of information.,Conscientiousness+,0.37311300
Can manage many things at the same time.,Conscientiousness+,0.417561
Can predict the outcome of events.,Conscientiousness+,0.33370600
Can sense how things will turn out.,Conscientiousness+,0.37370900
"Can stay focused on tasks, even when I'm happy and excited about an upcoming event.",Conscientiousness+,0.35703300
Can stay on a diet.,Conscientiousness+,0.3000950
"Can understand the ""rules of the groups"" of which I am a member.",Conscientiousness+,0.42202100
Can work under pressure.,Conscientiousness+,0.48365500
Care about justice.,Conscientiousness+,0.41655300
Carry out my plans.,Conscientiousness+,0.4060040
Check on things more often than necessary.,Conscientiousness+,0.45910100
Check over my work.,Conscientiousness+,0.5542810
Choose my words with care.,Conscientiousness+,0.45247200
Choose the easy way.,Conscientiousness+,0.27499600
Come straight to the point.,Conscientiousness+,0.30041900
Complete my duties as soon as possible.,Conscientiousness+,0.36877500
Complete tasks successfully.,Conscientiousness+,0.39105100
Consult the library or the Internet immediately if I want to know something.,Conscientiousness+,0.20492100
Continue until everything is perfect.,Conscientiousness+,0.35248800
Copy others.,Conscientiousness+,0.323429
Deal efficiently with practical matters.,Conscientiousness+,0.5901090
Demand perfection in myself.,Conscientiousness+,0.39114300
Demand quality.,Conscientiousness+,0.48369400
Do a lot of things just to avoid getting sick.,Conscientiousness+,0.34574900
Do as I am told.,Conscientiousness+,0.35607800
Do just enough work to get by.,Conscientiousness+,0.39407800
Do my tasks only just before they need to be done.,Conscientiousness+,0.38498400
Do things according to a plan.,Conscientiousness+,0.5325260
Do things at the last minute.,Conscientiousness+,0.33170400
Do things by the book.,Conscientiousness+,0.49167800
Do things in a logical order.,Conscientiousness+,0.560536
Do what's expected.,Conscientiousness+,0.46512300
Don't consider a task finished until it's perfect.,Conscientiousness+,0.38563100
Don't discard old pictures or snapshots,Conscientiousness+,0.32513900
Don't get sidetracked when I work.,Conscientiousness+,0.47869
Don't miss group meetings or team practices.,Conscientiousness+,0.40380900
Don't plan anything very far in advance.,Conscientiousness+,0.393213
Don't quit a task before it is finished.,Conscientiousness+,0.47118600
Examine my motives constantly.,Conscientiousness+,0.40080500
Excel in what I do.,Conscientiousness+,0.40128200
Expect dedicated work from others.,Conscientiousness+,0.496206
Expect nothing less than perfection.,Conscientiousness+,0.3541750
Feel compelled to count while I am doing things.,Conscientiousness+,0.45117100
Feel it is important to keep up appearances.,Conscientiousness+,0.471569
Feel that I have to repeat certain numbers.,Conscientiousness+,0.3821720
Feel that practice is as important as performance.,Conscientiousness+,0.3776430
Felt that everything I did was an effort.,Conscientiousness+,0.27022400
Find it necessary to please the people who have power.,Conscientiousness+,0.34958800
Find out things quickly.,Conscientiousness+,0.36833200
Find that I am able to pursue one goal for a long time.,Conscientiousness+,0.3712550
Finish tasks quickly.,Conscientiousness+,0.33690800
Finish things despite obstacles in the way.,Conscientiousness+,0.4296710
Finish what I start.,Conscientiousness+,0.4208220
Follow a schedule.,Conscientiousness+,0.48468600
Follow directions.,Conscientiousness+,0.5415600
Follow orders.,Conscientiousness+,0.47998900
Follow others.,Conscientiousness+,0.41768400
Follow the beaten track.,Conscientiousness+,0.2974100
Follow the rules.,Conscientiousness+,0.49350100
Follow through on my commitments.,Conscientiousness+,0.40465700
Follow through with my plans.,Conscientiousness+,0.41435300
Frequently visit medical websites to diagnose myself.,Conscientiousness+,0.24179600
Fulfill my duties without complaining.,Conscientiousness+,0.40573300
Get into my work.,Conscientiousness+,0.43676700
Get started quickly on doing a job.,Conscientiousness+,0.33935300
Get things done quickly.,Conscientiousness+,0.35223100
Get to the bottom of things.,Conscientiousness+,0.45241700
Get to the heart of the matter.,Conscientiousness+,0.36123400
Get to the point quickly.,Conscientiousness+,0.35744500
Get to work at once.,Conscientiousness+,0.29951100
Give priority to my own interests.,Conscientiousness+,0.40392800
Go through money quickly.,Conscientiousness+,0.24470000
Go to the doctor a lot.,Conscientiousness+,0.27558800
Guide my life using religious scriptures.,Conscientiousness+,0.2552510
Handle tasks smoothly.,Conscientiousness+,0.42651800
Have a conventional lifestyle.,Conscientiousness+,0.3904020
Have a good memory for things I've down throughout the day.,Conscientiousness+,0.32062800
Have a good sense of physical balance.,Conscientiousness+,0.45218800
Have a plan for what I want to be doing five years from now.,Conscientiousness+,0.3059410
Have a special ability to know what will happen before ithappens.,Conscientiousness+,0.42964900
Have all my senses intact.,Conscientiousness+,0.249474
Have an eye for detail.,Conscientiousness+,0.6106040
Have as much money as I need.,Conscientiousness+,0.17709100
Have complete confidence in my doctor.,Conscientiousness+,0.1352280
Have fixed opinions.,Conscientiousness+,0.4777830
Have hired a private detective to see if my partner/spouse was cheating on me.,Conscientiousness+,0.15988700
Have planned out exactly how I will die.,Conscientiousness+,0.13546400
Have read a lot.,Conscientiousness+,0.33861200
Have secret strategies.,Conscientiousness+,0.4685670
Have spent at least 30 minutes in the last 24 hours in prayer or meditation.,Conscientiousness+,0.2514570
Hold myself and others to very high standards.,Conscientiousness+,0.3922690
Hurry my work.,Conscientiousness+,0.53794400
Keep a cool head.,Conscientiousness+,0.4448490
Keep a sharp eye on others' work.,Conscientiousness+,0.5529100
Keep improving myself.,Conscientiousness+,0.4530670
Keep my appointments.,Conscientiousness+,0.38768600
